Q1,Q2,Q3,IQR
107.26252616530093,107.26252616530093,107.26252616530093,0.0
113.8243770510242,214.37930245113213,326.8977516634065,213.07337461238228
143.31421103310655,221.68024300448303,308.3226845347752,165.00847350166865
20.0,84.20578574308877,202.87484977920883,182.87484977920883
73.57155847428248,170.48830165581074,225.329146314255,151.75758783997253
30.39026236830233,98.78360310549789,170.11408637784956,139.72382400954723
10.0,58.432093534285656,100.35028751471108,90.35028751471108
27.285004313167907,106.50938217827549,147.53362851081914,120.24862419765124
90.73312735334054,123.35887171306092,186.55302729897664,95.81989994563611
58.00249672552408,125.97059002632727,266.52707165507695,208.52457492955287
57.21108668662339,154.81066123853668,255.7526829823181,198.54159629569472
57.97366956318362,101.13167309919595,147.71923806825396,89.74556850507034
